rank,name,symbol,price_usd,change_24h_pct,volume_24h_usd,market_cap_usd,last_updated,binance_status,binance_pair,binance_last_price,binance_change_24h_pct,binance_quote_volume,binance_count,price_diff_pct_vs_binance,change_diff_pct_points_vs_binance,volume_vs_binance_ratio
86,OFFICIAL TRUMP,TRUMP,3.6632226041545115,28.9,366483618.6862817,732642788.0,2026-03-13T09:10:24Z,matched,TRUMPUSDT,3.64,27.764,67732928.305988,635358,0.6379836306184445,1.1359999999999992,5.41071570138925
44,BitTensor,TAO,236.16961403127857,14.24,274305635.2136181,2266635745.0,2026-03-13T09:10:08Z,matched,TAOUSDT,237.0,15.497,42740976.73182,228658,-0.35037382646473836,-1.2569999999999997,6.41786070858324
32,Sui,SUI,1.032418018769311,5.69,476588502.1947477,4026414465.0,2026-03-13T09:10:08Z,matched,SUIUSDT,1.0328,6.113,47331004.83826,350857,-0.03698501459032612,-0.42300000000000004,10.069266516173718
53,Pepe,PEPE,3.46685538087531e-06,5.23,276611066.1732199,1458471390.0,2026-03-13T09:10:11Z,matched,PEPEUSDT,3.46e-06,5.488,40951830.17091011,121736,0.1981323952401764,-0.258,6.754547111052168
49,Aave,AAVE,114.86737371524698,4.94,278878040.59931374,1731420161.0,2026-03-13T09:10:03Z,matched,AAVEUSDT,114.92,5.538,14595625.94762,184174,-0.045793843328417745,-0.5979999999999999,19.10695996184996
10,Dogecoin,DOGE,0.09750530800393764,4.85,1111538336.215591,14542692074.0,2026-03-13T09:10:02Z,matched,DOGEUSDT,0.09748,5.304,100491952.69204,941248,0.02596225270583047,-0.4540000000000006,11.060968629218769
12,Cardano,ADA,0.2727269649927155,4.16,483933489.4287374,10495558860.0,2026-03-13T09:10:02Z,matched,ADAUSDT,0.2727,4.764,37686238.60144,175260,0.009888152810958409,-0.6040000000000001,12.841119394978469
5,XRP,XRP,1.431088808468108,3.69,2329980869.075792,87622465792.0,2026-03-13T09:10:02Z,matched,XRPUSDT,1.4342,4.177,203045108.46522,893538,-0.21692870812243678,-0.48699999999999966,11.475188379014305
7,Solana,SOL,89.20102836016414,3.62,3504647764.242864,50954920701.0,2026-03-13T09:10:02Z,matched,SOLUSDT,89.13,4.136,370026026.13027,1409989,0.07969074404145547,-0.516,9.471354760891955
31,Avalanche,AVAX,9.849135154099512,2.83,303376524.01449335,4159046354.0,2026-03-13T09:10:02Z,matched,AVAXUSDT,9.84,3.037,23277608.8653,83672,0.09283693190561358,-0.20699999999999985,13.032976272177923
42,Uniswap,UNI,4.014394865905314,2.8,154768942.93982762,2410343334.0,2026-03-13T09:10:02Z,matched,UNIUSDT,4.018,3.61,11202819.58368,80209,-0.08972459170447686,-0.81,13.815177668780038
35,Coinbase Wrapped BTC,CBBTC,71874.6372630353,2.75,399467298.4773385,3426120209.0,2026-03-13T09:10:22Z,not_listed_or_no_usd_quote_found,,,,,,,,
1,Bitcoin,BTC,71834.6104240486,2.72,33995769750.89357,1436805347992.0,2026-03-13T09:10:02Z,matched,BTCUSDT,71747.75,2.972,1925981191.5150785,4905176,0.12106362087814879,-0.2519999999999998,17.6511431683041
22,Chainlink,LINK,9.230470777240807,2.71,398702789.4014288,5786120330.0,2026-03-13T09:10:02Z,matched,LINKUSDT,9.23,3.128,33071989.7893,88656,0.005100511818058469,-0.41800000000000015,12.055603304837248
14,Bitcoin Cash,BCH,468.7120984554661,2.69,301253440.036119,9311334712.0,2026-03-13T09:10:02Z,matched,BCHUSDT,469.7,3.367,15189983.8702,108022,-0.21032606866806125,-0.677,19.83237392549993
