rank,name,symbol,price_usd,change_24h_pct,volume_24h_usd,market_cap_usd,crosscheck_status,cc_name,cc_price_usd,cc_change_24h_pct,cc_volume_24h_usd,cc_market_cap_usd,cc_market,price_diff_pct_vs_cc,change_diff_pct_points_vs_cc,volume_diff_pct_vs_cc,last_updated
86,OFFICIAL TRUMP,TRUMP,3.6632226041545115,28.9,366483618.6862817,732642788.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:24Z
44,BitTensor,TAO,236.16961403127857,14.24,274305635.2136181,2266635745.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:08Z
32,Sui,SUI,1.032418018769311,5.69,476588502.1947477,4026414465.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:08Z
53,Pepe,PEPE,3.46685538087531e-06,5.23,276611066.1732199,1458471390.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:11Z
49,Aave,AAVE,114.86737371524698,4.94,278878040.59931374,1731420161.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:03Z
10,Dogecoin,DOGE,0.09750530800393764,4.85,1111538336.215591,14542692074.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:02Z
12,Cardano,ADA,0.2727269649927155,4.16,483933489.4287374,10495558860.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:02Z
5,XRP,XRP,1.431088808468108,3.69,2329980869.075792,87622465792.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:02Z
7,Solana,SOL,89.20102836016414,3.62,3504647764.242864,50954920701.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:02Z
31,Avalanche,AVAX,9.849135154099512,2.83,303376524.01449335,4159046354.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:02Z
42,Uniswap,UNI,4.014394865905314,2.8,154768942.93982762,2410343334.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:02Z
35,Coinbase Wrapped BTC,CBBTC,71874.6372630353,2.75,399467298.4773385,3426120209.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:22Z
1,Bitcoin,BTC,71834.6104240486,2.72,33995769750.89357,1436805347992.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:02Z
22,Chainlink,LINK,9.230470777240807,2.71,398702789.4014288,5786120330.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:02Z
14,Bitcoin Cash,BCH,468.7120984554661,2.69,301253440.036119,9311334712.0,no_match_in_cc_top200,,,,,,,,,,2026-03-13T09:10:02Z
